"","A1","A2","A3","A4","A5","A6","B1","B2","B3","B4","B5","B6","C1","C2","C3","C4","C5","C6","D1","D2","D3","D4","D5","D6"
"tRF-17-026ZEDJ",102.644735758106,174.347612476827,95.3424080590634,118.095713975719,107.096092605916,239.28333840499,82.2083585163453,46.6901526464675,0,57.299587639074,23.5390298346774,40.2097726218266,46.8106071519907,97.4165245209016,16.152785805429,228.11802055844,58.2662360968409,218.342319613027,60.4086512652943,33.5518459352245,0,61.4663831520717,99.0170894256282,58.0061596708714
"tRF-17-078SUXJ",26.081859086076,47.7664691717333,25.7009969550519,17.1429262222817,105.448460411979,49.4460035080423,41.5279336835146,30.089209483279,27.6339764956467,17.6306423504843,32.6930969926075,25.9129645785105,20.8847324216574,28.4755994753405,2.15370477405721,100.718775158843,17.1933155695596,88.4602323834129,3.17940269817338,0,9.30291216552664,23.6409165969506,7.61669918658679,42.1140611309066
"tRF-17-07QSNHJ",235.578082067784,195.046415784578,261.984356057948,220.953271309409,361.655266569208,88.2964348357897,150.009066571063,311.267684309783,311.711254870895,229.198350556296,308.622835610215,202.835964114547,212.448140151342,218.812501231564,341.362206688067,286.815055088097,295.15191727744,193.067967503481,183.345555594665,209.914113030635,293.706226940198,251.775761757524,359.072961653377,331.350254558265
"tRF-17-08F4BD3",95.0725831202127,28.65988150304,91.1970859695389,85.7146311114087,23.0668507151203,54.7437895981896,83.0558673670292,60.1784189665581,95.0608791450248,94.7647026338531,73.2325372634409,80.4195452436531,144.752800577694,48.7082622604508,208.909363083549,94.048657598655,42.0281047255902,117.946976511217,95.3820809452015,65.3830843865913,53.1594980887237,76.8329789400896,11.9690987217792,82.6389124078168
"tRF-17-08P2B52",15.9856555688853,5.57275473670222,13.2650306864784,5.71430874076058,9.06197706665441,4.41482174178949,5.9325619547878,7.26291263389494,16.580385897388,8.81532117524215,13.077238797043,2.68065150812177,5.76130549562963,7.49357880930012,17.2296381924576,4.66908229213181,8.59665778477981,3.51032668188146,11.6578098933024,7.7427336773595,10.6318996177447,4.72818331939013,11.9690987217792,11.1244689779753
"tRF-17-08P2F52",466.108062376972,369.394028261405,385.514954325778,224.762810469916,373.188691926768,296.676021048254,551.728261795266,478.314674889367,485.252627263557,305.23049569276,779.403432303764,297.552317401517,410.493016563611,346.203340989666,515.812293386701,321.499666401076,330.493732614868,275.209611859507,338.07648690577,647.808717672411,434.578896875316,339.247153166242,425.447054565062,390.945624083133
"tRF-17-08Q2B52",21907.0789317177,12997.2562616286,17067.9491714082,12994.3380764896,16264.6012024507,11209.2324024035,19321.5067778932,17515.0325961115,20975.2935192557,19243.8461255536,29164.8579651653,18274.8948813688,20459.8361413547,16412.4363081291,24863.4447641034,13066.7603004089,15053.7029653478,13911.4246402962,20521.9846158098,24273.470078522,21609.3359730662,16978.9062999299,22747.8161706833,19211.1633200364
"tRF-17-094OFOO",0.841350293099227,22.2910189468089,28.1881902087666,19.0476958025353,17.3001380363402,53.8608252498317,28.815300923255,4.15023579079711,27.6339764956467,7.71340602833688,0,4.46775251353629,5.04114230867592,41.2146834511507,5.38426193514301,49.3588699453934,1.91036839661773,29.4867441278043,13.7774116920847,15.485467354719,1.32898745221809,13.0025041283229,0,3.17841970799295
"tRF-17-0P5830P",5.88945205169459,1.59221563905778,15.7522239401931,0,0,3.53185739343159,7.62757965615574,0,17.6857449572139,11.0191514690527,0,23.2323130703887,0,9.74165245209016,12.9222286443432,4.66908229213181,0,0,15.8970134908669,6.88242993543066,1.32898745221809,0,10.8809988379811,0
"tRF-17-0RSSX7J",15.1443052757861,6.36886255623111,5.8034509253343,0,0,1.76592869671579,8.47508850683972,3.11267684309783,4.42143623930348,3.30574544071581,15.6926865564516,10.7226060324871,0.720163186953703,5.9948630474401,1.0768523870286,10.6721880963013,1.91036839661773,5.61652269101034,3.17940269817338,0.860303741928833,45.1855733754151,5.91022914923766,6.52859930278867,16.686703466963
"tRF-17-0RYNUR2",22.7164579136791,26.2715580444533,17.4103527760029,22.8572349630423,43.6622531393349,17.6592869671579,53.3930575930902,17.6385021108877,34.266130854602,34.1593695540633,47.0780596693549,16.0839090487306,54.7324022084815,32.9717467609205,0,24.0124232166779,18.1484997678685,56.1652269101034,0,41.294579612584,2.65797490443618,26.0050082566457,8.7047990703849,30.1949872259331
"tRF-17-0UQ2B52",5.88945205169459,2.38832345858667,13.2650306864784,1.90476958025353,23.8906668120889,3.53185739343159,15.2551593123115,11.413148424692,17.6857449572139,12.121066615958,20.9235820752688,14.2968080433161,2.88065274781481,15.7365154995303,7.53796670920022,1.33402351203766,16.2381313712507,9.8289147092681,8.47840719512902,24.0885047740073,11.9608870699628,9.45636663878025,10.8809988379811,17.4813083939612
"tRF-17-0VL8K8N",0,0,6.6325153432392,11.4286174815212,23.0668507151203,9.71260783193687,0,0,5.52679529912935,2.20383029381054,2.6154477594086,0,8.64195824344444,0,0,4.00207053611298,0,2.10619600912888,16.956814390258,0,0,14.1845499581704,22.8500975597604,15.8920985399648
"tRF-17-0Y3KQ92",313.823659326012,175.143720296356,387.173083161588,516.192556248705,334.469335369245,327.57977324078,218.657283476465,208.549348487555,263.075456238557,177.408338651748,221.005335670027,213.558570147034,162.756880251537,224.807364279004,264.905687209036,283.479996308003,197.723129049936,231.681561004177,187.58475919223,310.569650836309,134.227732674027,66.1945664714618,243.734373970777,255.068181566435
"tRF-17-1293WE5",37.8607631894652,37.4170675178578,1.6581288358098,11.4286174815212,23.0668507151203,71.5201122169897,5.08505310410383,9.33803052929349,43.1090033332089,0,0,16.0839090487306,28.0863642911944,38.2172519274306,0,61.3650815537323,54.4454993036055,48.4425082099642,76.3056647561612,22.3678972901497,0,11.8204582984753,30.4667967463471,49.2655054738908
"tRF-17-18VUY9M",61.4185713962436,23.0871267663378,24.0428681192421,17.1429262222817,10.7096092605916,43.265253069537,43.2229513848826,65.3662137050544,40.8982852135572,24.2421332319159,24.8467537143817,37.5291211137048,21.6048956086111,8.24293669023013,46.3046526422299,19.3433409245461,25.7899733543394,22.4660907640414,28.6146242835604,6.02212619350183,39.8696235665427,36.6434207252735,32.6429965139434,79.4604926998239
"tRF-17-1EWJQ72",58.0531702238467,18.3104798491644,65.4960890144871,24.7620045432958,25.5382990060261,38.8504313277475,22.8827389684672,49.8028294895653,82.9019294869402,46.2804361700213,112.46425365457,25.9129645785105,79.2179505649074,53.9537674269609,62.457438447659,26.6804702407532,49.6695783120611,55.4631615737271,56.1694476677298,15.485467354719,78.4102596808674,59.1022914923766,67.462192795483,41.3194562039084
"tRF-17-1HPSR9L",0,11.9416172929333,36.4788343878156,0,44.4860692363035,16.7763226188,0,9.33803052929349,2.21071811965174,0,13.077238797043,0,7.92179505649074,8.24293669023013,6.46111432217162,23.345411460659,19.1036839661773,9.12684937289181,0,7.7427336773595,18.6058243310533,0,11.9690987217792,14.3028886859683
"tRF-17-1KVUY94",22.7164579136791,9.55329383434667,7.46157976114409,19.0476958025353,2.47144829090575,32.6696808892422,61.020637249246,54.9906242280617,26.5286174358209,14.3248969097685,34.0008208723118,18.7645605568524,16.5637532999352,8.99229457116015,10.768523870286,4.00207053611298,0,10.5309800456444,103.860488140331,42.1548833545128,1.32898745221809,10.6384124686278,4.35239953519245,9.53525912397886
