"X.1","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X","expression","significant"
"NR4A1",4755.50960464437,2.90879850229585,0.0950035080771053,30.6178009756762,7.09382045102845e-206,7.78546794500373e-202,"NR4A1","P.adj < 0.05 & |log2FC| > 1","red"
"RGS2",2206.43407705069,1.44334924276083,0.0549442027100746,26.2693636738527,4.29547262958717e-152,2.35714060548596e-148,"RGS2","P.adj < 0.05 & |log2FC| > 1","red"
"NR4A3",3311.79755643706,2.98108423823165,0.114956109465002,25.9323689024046,2.87470621889403e-148,1.05166335841207e-144,"NR4A3","P.adj < 0.05 & |log2FC| > 1","red"
"ARC",2115.92966391622,1.87263379508041,0.0737327150173545,25.3975971811109,2.68081716896829e-142,7.35549210735675e-139,"ARC","P.adj < 0.05 & |log2FC| > 1","red"
"EGR2",1021.85146202428,3.43870079161712,0.1449821004807,23.7181057538539,2.34545965558598e-124,5.14828394401122e-121,"EGR2","P.adj < 0.05 & |log2FC| > 1","red"
"BTG2",5368.74595567831,2.19619801830577,0.0979162606721648,22.4293493565783,2.0359231650939e-111,3.72404278948426e-108,"BTG2","P.adj < 0.05 & |log2FC| > 1","red"
"CCN1",778.853718740098,3.18508633007669,0.174675964146563,18.2342564739143,2.75981476011745e-74,4.32699528461271e-71,"CCN1","P.adj < 0.05 & |log2FC| > 1","red"
"ATF3",1038.8637413124,1.49784219700461,0.082708225941921,18.1099543599982,2.65968865253568e-73,3.64876037019739e-70,"ATF3","P.adj < 0.05 & |log2FC| > 1","red"
"EGR3",1960.29277159388,3.84599583258523,0.216306688356201,17.7802908537524,1.004575044378e-70,1.22502345689428e-67,"EGR3","P.adj < 0.05 & |log2FC| > 1","red"
"IER2",1158.66303197254,1.14471241664218,0.0645896521087987,17.7228453671488,2.79414998545223e-70,3.06657960903382e-67,"IER2","P.adj < 0.05 & |log2FC| > 1","red"
"JUNB",809.478058807683,1.4129617448637,0.0807141326537,17.5057539294381,1.29500955154637e-68,1.29206634802013e-65,"JUNB","P.adj < 0.05 & |log2FC| > 1","red"
"EGR1",4247.41656070501,2.6451658314881,0.154334597245044,17.139163082716,7.57328835178599e-66,6.92640330507094e-63,"EGR1","P.adj < 0.05 & |log2FC| > 1","red"
"GEM",872.619070343128,1.21188579320692,0.0768206060958495,15.7755302229045,4.58531273107323e-56,3.8710620941176e-53,"GEM","P.adj < 0.05 & |log2FC| > 1","red"
"FOS",3240.05094020228,2.81830998026436,0.185111607865692,15.224923022165,2.41642864086785e-52,1.89430745239462e-49,"FOS","P.adj < 0.05 & |log2FC| > 1","red"
"ADAMTS1",5429.30656744275,0.685592700476168,0.0483821553493227,14.1703629267059,1.39776266418318e-45,1.02269634929403e-42,"ADAMTS1","P.adj < 0.05","blue"
"DUSP1",584.206637086677,0.929840528098956,0.0695469879688849,13.3699611623003,9.05881369077159e-41,6.21378001601364e-38,"DUSP1","P.adj < 0.05","blue"
"TOB1",614.233235111344,0.6374591109793,0.0530512075449485,12.0159208523049,2.93086384826159e-33,1.89213121968653e-30,"TOB1","P.adj < 0.05","blue"
"NPAS4",507.143346214006,3.96830954922291,0.344377213856477,11.5231478435642,1.00857773897692e-30,6.14952260292872e-28,"NPAS4","P.adj < 0.05 & |log2FC| > 1","red"
