"X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","miR_name","expression","significant"
"hsa-miR-27a-5p",1687.69715969563,1.21498207783688,0.152483039535295,7.9679817607233,1.61286661174212e-15,1.31771202179331e-12,"hsa-miR-27a-5p","P.adj < 0.05 & |log2FC| > 1","red"
"hsa-miR-335-3p",554.016727985798,1.24285162205698,0.159035683563113,7.8149230047718,5.49966371459166e-15,2.24661262741069e-12,"hsa-miR-335-3p","P.adj < 0.05 & |log2FC| > 1","red"
"hsa-miR-374a-5p",14850.3799921138,-0.318810635154946,0.0735587047419214,-4.33409800068509,1.46358969215794e-05,0.00398584259497678,"hsa-miR-374a-5p","P.adj < 0.05","blue"
"hsa-miR-191-3p",673.12547158317,0.39599093220699,0.132577740094146,2.98685836646326,0.0028186027148246,0.290772643403715,"hsa-miR-191-3p","NS","grey80"
"hsa-miR-25-3p",97939.5045882779,-0.189482666647801,0.0635044842612272,-2.98376829372174,0.00284722294642561,0.290772643403715,"hsa-miR-25-3p","NS","grey80"
"hsa-miR-374a-3p",4504.02222411068,-0.291846461194793,0.0974890077781924,-2.99363454245841,0.00275675933104326,0.290772643403715,"hsa-miR-374a-3p","NS","grey80"
"hsa-miR-4454",66.7308100560931,1.12863418446808,0.371512633541758,3.03794294613462,0.00238199048174223,0.290772643403715,"hsa-miR-4454","|log2FC| > 1","darkgreen"
"hsa-miR-4690-5p",5.43186049264555,-5.48167599695575,1.72484348614498,-3.17807154155609,0.00148258163531085,0.290772643403715,"hsa-miR-4690-5p","|log2FC| > 1","darkgreen"
"hsa-miR-4286",4993.58501982264,0.258704813926534,0.08792316461405,2.94239652385298,0.00325682608478443,0.295647434585431,"hsa-miR-4286","NS","grey80"
"hsa-miR-26a-2-3p",392.786152345774,-0.453167069540396,0.159547577887262,-2.84032559780136,0.00450675083906691,0.334728675956152,"hsa-miR-26a-2-3p","NS","grey80"
"hsa-miR-377-5p",70.6441613769806,0.905856636941845,0.318429859491316,2.84476034499066,0.00444448486794732,0.334728675956152,"hsa-miR-377-5p","NS","grey80"
"hsa-miR-6837-5p",12.7168623452518,3.4760646741783,1.25636342455186,2.7667668496623,0.00566152289630505,0.385455350523435,"hsa-miR-6837-5p","|log2FC| > 1","darkgreen"
"hsa-miR-548as-5p",19.975467682466,-2.07946367631041,0.762872650374935,-2.72583330296138,0.00641393822354905,0.40309134835689,"hsa-miR-548as-5p","|log2FC| > 1","darkgreen"
"hsa-miR-551b-5p",32.877506143452,1.62547953290534,0.602969530752304,2.69579050018876,0.00702218166135835,0.405774371803245,"hsa-miR-551b-5p","|log2FC| > 1","darkgreen"
"hsa-miR-98-3p",14.2236454110101,2.08442744209617,0.778924768846575,2.67603178825957,0.00744995786664464,0.405774371803245,"hsa-miR-98-3p","|log2FC| > 1","darkgreen"
"hsa-miR-483-3p",3256.74704786344,0.248216615660031,0.0952388849455819,2.60625285356773,0.00915388583362515,0.467420295379484,"hsa-miR-483-3p","NS","grey80"
"hsa-miR-33b-3p",109.324874448042,0.76519064069501,0.306729216963348,2.49467803644687,0.0126071463856812,0.572224366505643,"hsa-miR-33b-3p","NS","grey80"
"hsa-miR-340-5p",23549.1166346992,-0.152153287387434,0.0607555618754732,-2.50435158017784,0.0122676063188894,0.572224366505643,"hsa-miR-340-5p","NS","grey80"
"hsa-miR-455-3p",315.932151128151,-0.483636680568816,0.196003111094815,-2.46749491815392,0.0136062152696214,0.58506725659372,"hsa-miR-455-3p","NS","grey80"
"hsa-miR-1245b-3p",3.62072734455887,-4.94889466181484,2.06702000982671,-2.39421710398911,0.0166558866113352,0.625482131992012,"hsa-miR-1245b-3p","|log2FC| > 1","darkgreen"
"hsa-miR-1273c",40.9613018148201,1.31703896579966,0.547971566944101,2.40348048192437,0.0162398339135139,0.625482131992012,"hsa-miR-1273c","|log2FC| > 1","darkgreen"
"hsa-miR-23a-5p",143.263769569646,0.812068562293916,0.33976051842822,2.39012044733937,0.016842848107496,0.625482131992012,"hsa-miR-23a-5p","NS","grey80"
"hsa-miR-26b-5p",63021.4492892409,-0.216933967574384,0.0923563887754266,-2.34887884260915,0.0188300328035561,0.66887551306545,"hsa-miR-26b-5p","NS","grey80"
"hsa-miR-148b-3p",3977.54204689745,-0.21898551357245,0.0963221698551093,-2.27346948165573,0.0229979031922852,0.675461549686703,"hsa-miR-148b-3p","NS","grey80"
"hsa-miR-185-3p",87.0214615098999,0.706146252000305,0.310945766098814,2.27096274974171,0.0231492330369984,0.675461549686703,"hsa-miR-185-3p","NS","grey80"
"hsa-miR-548at-5p",12.5354842420682,-1.92050893102808,0.842332553519149,-2.27998896991985,0.022608342670227,0.675461549686703,"hsa-miR-548at-5p","|log2FC| > 1","darkgreen"
