"X.1","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X","expression","significant"
"VCL",1874.52495505961,1.72306607976879,0.0309207832315049,55.7251757456511,0,0,"VCL","P.adj < 0.05 & |log2FC| > 1","red"
"LIMA1",3239.59365686303,1.43890097503519,0.0340008281354911,42.319586137763,0,0,"LIMA1","P.adj < 0.05 & |log2FC| > 1","red"
"HERPUD1",983.008197540467,2.24155236555873,0.0513109110562996,43.6856863270123,0,0,"HERPUD1","P.adj < 0.05 & |log2FC| > 1","red"
"KLF6",898.538920423323,2.39051862229527,0.0532220125589681,44.9159756904469,0,0,"KLF6","P.adj < 0.05 & |log2FC| > 1","red"
"FOSL2",1019.28142928566,4.45724875091328,0.0617802063945549,72.1468737486465,0,0,"FOSL2","P.adj < 0.05 & |log2FC| > 1","red"
"CREM",593.279108542605,2.98045417066041,0.0608114542191239,49.0113944639581,0,0,"CREM","P.adj < 0.05 & |log2FC| > 1","red"
"SLC7A5",705.559086706532,3.50873057309686,0.0771870379418994,45.4575103107074,0,0,"SLC7A5","P.adj < 0.05 & |log2FC| > 1","red"
"PDE10A",6081.01305602049,2.96009884725256,0.0394206502658552,75.0900562849541,0,0,"PDE10A","P.adj < 0.05 & |log2FC| > 1","red"
"SRF",729.493479802476,2.0393057550333,0.0500583905422942,40.7385401915849,0,0,"SRF","P.adj < 0.05 & |log2FC| > 1","red"
"TENT5A",959.747558183243,3.58766582844985,0.0539787629399874,66.464395125886,0,0,"TENT5A","P.adj < 0.05 & |log2FC| > 1","red"
"RGS2",2206.43407705069,4.72211074291929,0.0498875009801961,94.6551871739142,0,0,"RGS2","P.adj < 0.05 & |log2FC| > 1","red"
"NR4A3",3311.79755643706,7.92871698882445,0.109387160531495,72.4830679423441,0,0,"NR4A3","P.adj < 0.05 & |log2FC| > 1","red"
"CRISPLD1",2119.4730217765,2.14356807338488,0.044674028555338,47.9824216150469,0,0,"CRISPLD1","P.adj < 0.05 & |log2FC| > 1","red"
"EGR2",1021.85146202428,6.62006669131121,0.139758369898287,47.3679443752039,0,0,"EGR2","P.adj < 0.05 & |log2FC| > 1","red"
"NR4A1",4755.50960464437,5.95563129559723,0.0937849129129273,63.5030849911501,0,0,"NR4A1","P.adj < 0.05 & |log2FC| > 1","red"
"VGF",1337.95702066462,2.2804182310593,0.0601613541003681,37.905034970703,0,0,"VGF","P.adj < 0.05 & |log2FC| > 1","red"
"SIK1",851.234320772526,5.2530456980447,0.0915730448620043,57.3645411262754,0,0,"SIK1","P.adj < 0.05 & |log2FC| > 1","red"
"RGS16",586.947918846569,3.00043194336302,0.0599836210151789,50.0208539028306,0,0,"RGS16","P.adj < 0.05 & |log2FC| > 1","red"
"ZC3H12C",3350.41241352025,2.61028997166284,0.0576461482549779,45.2812555683187,0,0,"ZC3H12C","P.adj < 0.05 & |log2FC| > 1","red"
"HOMER1",867.0446869648,2.91050914061214,0.0656268654551429,44.349354801983,0,0,"HOMER1","P.adj < 0.05 & |log2FC| > 1","red"
"ADAMTS1",5429.30656744275,2.55177376702756,0.0473944102690279,53.8412389254929,0,0,"ADAMTS1","P.adj < 0.05 & |log2FC| > 1","red"
"BTG2",5368.74595567831,4.73284872622001,0.0970288751446878,48.7777346605582,0,0,"BTG2","P.adj < 0.05 & |log2FC| > 1","red"
"ATF3",1038.8637413124,4.05321169973768,0.0775563411127521,52.2615126188726,0,0,"ATF3","P.adj < 0.05 & |log2FC| > 1","red"
"GEM",872.619070343128,4.10335908133659,0.0698977335233131,58.7051807619483,0,0,"GEM","P.adj < 0.05 & |log2FC| > 1","red"
"TPM4",4669.43697950924,1.30309808715598,0.0266827222825223,48.836774350027,0,0,"TPM4","P.adj < 0.05 & |log2FC| > 1","red"
"SCG2",548.782801654038,3.17676972795885,0.0644203293026822,49.313155681534,0,0,"SCG2","P.adj < 0.05 & |log2FC| > 1","red"
"EIF2AK3",1927.45702303975,2.46921511347239,0.0508499672211601,48.5588339267381,0,0,"EIF2AK3","P.adj < 0.05 & |log2FC| > 1","red"
"JUN",861.596873117777,2.7817425474394,0.0542722645641469,51.2553247921234,0,0,"JUN","P.adj < 0.05 & |log2FC| > 1","red"
"PER1",659.148239658405,2.82705543511714,0.0566064977133859,49.9422424865656,0,0,"PER1","P.adj < 0.05 & |log2FC| > 1","red"
"ARC",2115.92966391622,5.33141850259883,0.0688251496094471,77.4632315781704,0,0,"ARC","P.adj < 0.05 & |log2FC| > 1","red"
