"X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","miR_name","expression","significant"
"hsa-miR-335-3p",554.016727985798,3.97619718748523,0.155579559875508,25.5573237941212,4.55221166684979e-144,2.42177660676409e-141,"hsa-miR-335-3p","P.adj < 0.05 & |log2FC| > 1","red"
"hsa-miR-27a-5p",1687.69715969563,2.14676327904064,0.152192943108795,14.1055375839997,3.51103465728621e-45,9.33935218838132e-43,"hsa-miR-27a-5p","P.adj < 0.05 & |log2FC| > 1","red"
"hsa-miR-335-5p",569.902399103161,1.81714532420105,0.168628291956663,10.7760406223414,4.46702044152753e-27,7.92151624964215e-25,"hsa-miR-335-5p","P.adj < 0.05 & |log2FC| > 1","red"
"hsa-miR-4521",2904.71616208177,0.979449510989922,0.104405842838224,9.38117527107719,6.52413929484502e-21,8.67710526214388e-19,"hsa-miR-4521","P.adj < 0.05","blue"
"hsa-miR-132-5p",1063.53729592225,0.890654075071063,0.098523467031077,9.04001962080898,1.56643698457294e-19,1.66668895158561e-17,"hsa-miR-132-5p","P.adj < 0.05","blue"
"hsa-miR-145-3p",439.990524513566,1.2356810763179,0.1537577790225,8.03654347879907,9.24081689612112e-16,8.19352431456072e-14,"hsa-miR-145-3p","P.adj < 0.05 & |log2FC| > 1","red"
"hsa-miR-23a-5p",143.263769569646,2.03334236549833,0.337619591532792,6.02258404575091,1.71654182330017e-09,1.30457178570813e-07,"hsa-miR-23a-5p","P.adj < 0.05 & |log2FC| > 1","red"
"hsa-miR-92a-1-5p",1337.62128400835,0.66053172347615,0.120778234950143,5.46896320971087,4.52675689435015e-08,3.01029333474285e-06,"hsa-miR-92a-1-5p","P.adj < 0.05","blue"
"hsa-miR-374a-5p",14850.3799921138,-0.384655618010253,0.0735684267478365,-5.22854212077554,1.70851912742418e-07,1.00992463976629e-05,"hsa-miR-374a-5p","P.adj < 0.05","blue"
"hsa-miR-32-5p",544.025448783209,-0.57819437077095,0.111315944053481,-5.19417389563854,2.05630868908246e-07,1.09395622259187e-05,"hsa-miR-32-5p","P.adj < 0.05","blue"
"hsa-miR-212-5p",436.582194299007,0.848654812830715,0.171061876303906,4.96109847014076,7.00956439707967e-07,3.39008023567853e-05,"hsa-miR-212-5p","P.adj < 0.05","blue"
"hsa-miR-29b-3p",344.682838689814,-0.653581841033726,0.164001710216652,-3.98521356984827,6.74194592737868e-05,0.00298892936113788,"hsa-miR-29b-3p","P.adj < 0.05","blue"
"hsa-miR-15a-5p",4375.44843646932,-0.3225904800137,0.082091273395979,-3.92965618230379,8.50674085932294e-05,0.00348122010550754,"hsa-miR-15a-5p","P.adj < 0.05","blue"
"hsa-miR-497-5p",1249.90301533813,-0.449350931926829,0.117425581441966,-3.82668688039586,0.000129879554178459,0.00493542305878142,"hsa-miR-497-5p","P.adj < 0.05","blue"
"hsa-miR-483-3p",3256.74704786344,0.342104207143473,0.0952100940945161,3.59315060442922,0.000326703629817009,0.0115870887375099,"hsa-miR-483-3p","P.adj < 0.05","blue"
"hsa-miR-21-3p",744.672958727715,0.473025297745122,0.133097145406531,3.55398529623093,0.00037944042700016,0.0126163941977553,"hsa-miR-21-3p","P.adj < 0.05","blue"
"hsa-miR-15b-5p",28435.4586496883,-0.143470423623266,0.0406276774611477,-3.53134691886996,0.000413449099353113,0.0129385247562268,"hsa-miR-15b-5p","P.adj < 0.05","blue"
"hsa-miR-23b-5p",856.483072544367,0.518659361238939,0.15223390783806,3.40698973444646,0.000656835973775859,0.0183914072657241,"hsa-miR-23b-5p","P.adj < 0.05","blue"
"hsa-miR-26b-5p",63021.4492892409,-0.315632876997276,0.0923588048632914,-3.41746385159999,0.000632074872745975,0.0183914072657241,"hsa-miR-26b-5p","P.adj < 0.05","blue"
"hsa-miR-130a-3p",1730.04691874587,-0.397583678854931,0.117330288220113,-3.38858520580006,0.000702541977285018,0.0186876165957815,"hsa-miR-130a-3p","P.adj < 0.05","blue"
"hsa-miR-140-5p",735.843852608882,-0.442708589170106,0.131333857328264,-3.37086413340904,0.000749328039310291,0.0189829769958607,"hsa-miR-140-5p","P.adj < 0.05","blue"
"hsa-miR-4326",293.76717139578,0.530199933749338,0.158436246386352,3.34645604047213,0.000818516567214363,0.0197932188071837,"hsa-miR-4326","P.adj < 0.05","blue"
"hsa-miR-124-5p",197.069612920922,0.831277282560969,0.253956597510208,3.27330453593573,0.00106297882469283,0.0245871623798514,"hsa-miR-124-5p","P.adj < 0.05","blue"
"hsa-miR-375-3p",50312.6597654447,0.223705721049999,0.0706743806361099,3.16530147185613,0.00154922343227294,0.0343411194153835,"hsa-miR-375-3p","P.adj < 0.05","blue"
"hsa-miR-19b-3p",5441.55811951424,-0.241407103723142,0.0787434647297815,-3.06574144980237,0.00217130985231016,0.0462054736571602,"hsa-miR-19b-3p","P.adj < 0.05","blue"
