"X.1","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X","expression","significant"
"PIGA",545.372807888803,1.22046217483295,0.0605502295603316,20.1561940176774,2.37460308740631e-90,6.15409889938218e-88,"PIGA","P.adj < 0.05 & |log2FC| > 1","red"
"B3GALT2",100.235879271573,2.88939245771305,0.145831818521048,19.8131826580495,2.29132296730869e-87,5.81950207237062e-85,"B3GALT2","P.adj < 0.05 & |log2FC| > 1","red"
"TLE3",946.706777723401,0.888736136112416,0.0450750734706738,19.7167983917017,1.54717433211836e-86,3.85246408697471e-84,"TLE3","P.adj < 0.05","blue"
"ZFP36",156.141470435342,2.35206152098192,0.119309341440725,19.7139762283448,1.63593207323918e-86,3.99513488424314e-84,"ZFP36","P.adj < 0.05 & |log2FC| > 1","red"
"IFRD1",1375.11036882974,0.968826830511929,0.0498150473354948,19.4484775651635,3.00212783087845e-84,7.19321157062744e-82,"IFRD1","P.adj < 0.05","blue"
"TIPARP",637.710179870782,0.991244448442561,0.0510100682162374,19.4323294029046,4.11267807015589e-84,9.67164792831661e-82,"TIPARP","P.adj < 0.05","blue"
"DUSP10",372.086990755001,1.58130802298707,0.0818498150425031,19.3196285436433,3.67283836805449e-83,8.48024989744071e-81,"DUSP10","P.adj < 0.05 & |log2FC| > 1","red"
"EGR4",286.762920412492,7.27545033375587,0.376872085100566,19.3048268136242,4.89190367867889e-83,1.10932651456327e-80,"EGR4","P.adj < 0.05 & |log2FC| > 1","red"
"ZNF548",393.243762439419,1.18040372664121,0.0612543440961211,19.270530834334,9.49570942837287e-83,2.11554410580539e-80,"ZNF548","P.adj < 0.05 & |log2FC| > 1","red"
"FOSB",1207.73983790811,3.32523599993203,0.172667808324638,19.2579962194235,1.20969988000891e-82,2.64861703038502e-80,"FOSB","P.adj < 0.05 & |log2FC| > 1","red"
"TENT5A",959.747558183243,1.13124355456094,0.0588030464179032,19.2378392527724,1.78495567271745e-82,3.84189018437948e-80,"TENT5A","P.adj < 0.05 & |log2FC| > 1","red"
"CCNL1",2604.86875469074,0.738118437630735,0.0388711755151331,18.9888375601961,2.10946521590373e-80,4.46468312946025e-78,"CCNL1","P.adj < 0.05","blue"
"PEG10",5269.61647570979,0.615251397140878,0.0325673544829612,18.8916602809347,1.33577781401078e-79,2.78082663280703e-77,"PEG10","P.adj < 0.05","blue"
"PDLIM3",388.357056996764,1.3464829320677,0.0728279079442708,18.4885570665857,2.55294640110109e-76,5.22901070122302e-74,"PDLIM3","P.adj < 0.05 & |log2FC| > 1","red"
"FILIP1L",349.073189757096,1.33000736198344,0.0728391202976611,18.2595198369816,1.73812937950016e-74,3.50357222067818e-72,"FILIP1L","P.adj < 0.05 & |log2FC| > 1","red"
"DSEL",1319.83024500606,1.00078217690042,0.0554166301190112,18.0592391625252,6.67360640480724e-73,1.32418949585386e-70,"DSEL","P.adj < 0.05 & |log2FC| > 1","red"
"CBX4",365.577510442987,1.26111827627605,0.0700100403636463,18.0133916467631,1.52962426987495e-72,2.98841516971416e-70,"CBX4","P.adj < 0.05 & |log2FC| > 1","red"
"CBX8",376.192350994869,1.25125011934806,0.0696827200819145,17.9563903056191,4.27735633142099e-72,8.23002243222957e-70,"CBX8","P.adj < 0.05 & |log2FC| > 1","red"
"AKAP5",200.867414110224,1.85961065608737,0.104798069694653,17.7447033280828,1.89397718594462e-70,3.58979347527026e-68,"AKAP5","P.adj < 0.05 & |log2FC| > 1","red"
"DCUN1D3",480.670986177701,0.985010838047141,0.0557838971319438,17.6576196481456,8.89109297921072e-70,1.6604116138676e-67,"DCUN1D3","P.adj < 0.05","blue"
"JUND",976.173623551332,0.828030751882236,0.0471605328849073,17.5577055904563,5.19323263919578e-69,9.55780598335467e-67,"JUND","P.adj < 0.05","blue"
"TPM1",903.424048663477,0.725009457836321,0.0420176581093694,17.2548754609114,1.02843215915512e-66,1.86572285558726e-64,"TPM1","P.adj < 0.05","blue"
"CSRP1",296.832149695034,1.17576125206772,0.0683762091449107,17.1954729104082,2.87105763400775e-66,5.13514942172738e-64,"CSRP1","P.adj < 0.05 & |log2FC| > 1","red"
"SLC7A5",705.559086706532,1.38571352384159,0.0808801638864756,17.1329218099335,8.43120632292867e-66,1.48705401520654e-63,"SLC7A5","P.adj < 0.05 & |log2FC| > 1","red"
"DDIT3",204.100393831835,1.6010462427744,0.0936263956679185,17.1003725109008,1.4745877901322e-65,2.56517675984779e-63,"DDIT3","P.adj < 0.05 & |log2FC| > 1","red"
"MYLIP",372.215198896803,0.994187635855227,0.0582872179846031,17.0567007695898,3.11667832033066e-65,5.34847270133501e-63,"MYLIP","P.adj < 0.05","blue"
"MIDEAS",676.753674447203,0.903795299486838,0.0537169418784855,16.8251443191114,1.59672161655345e-63,2.70356904114829e-61,"MIDEAS","P.adj < 0.05","blue"
"ZNF93",300.335447177141,1.1566291485931,0.0691544597565288,16.7253009085059,8.57420488586641e-63,1.43268194533707e-60,"ZNF93","P.adj < 0.05 & |log2FC| > 1","red"
"RHOB",603.292928674044,0.935197678682099,0.0559693285806507,16.7091101929961,1.12501726940977e-62,1.85540185769282e-60,"RHOB","P.adj < 0.05","blue"
"CSRNP1",151.286781926236,2.3713413356853,0.143214945523673,16.5579180791109,1.40367609095758e-61,2.28529265116286e-59,"CSRNP1","P.adj < 0.05 & |log2FC| > 1","red"
"REL",512.722614359354,0.991748643487345,0.0605825059907125,16.3702149204489,3.12109860292799e-60,5.01706723526361e-58,"REL","P.adj < 0.05","blue"
"RNF19A",1416.01175659385,0.603919378910058,0.0369265801883296,16.354598119566,4.03360667523191e-60,6.40284639609625e-58,"RNF19A","P.adj < 0.05","blue"
"SYT4",5923.87457953173,0.811317399914486,0.0498066043219694,16.2893538107881,1.17463769123669e-59,1.84157086926108e-57,"SYT4","P.adj < 0.05","blue"
"FAM53C",594.534386755711,0.82641497607485,0.05085186332878,16.2514197509678,2.18251038427674e-59,3.37996333779638e-57,"FAM53C","P.adj < 0.05","blue"
"IRF2BP2",2746.30724006065,0.881061568501859,0.0544600013537366,16.1781407748975,7.1933989835396e-59,1.10059004448156e-56,"IRF2BP2","P.adj < 0.05","blue"
"LETM2",99.3935872656045,1.88966513119599,0.117349863711963,16.1028319200626,2.43691023609581e-58,3.68408608192627e-56,"LETM2","P.adj < 0.05 & |log2FC| > 1","red"
"ZBTB21",870.898797293705,0.983589305188457,0.0613691266752096,16.0274287492148,8.2214831210845e-58,1.22828957829002e-55,"ZBTB21","P.adj < 0.05","blue"
