"X.1","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X","expression","significant"
"MIR22HG",137.663840649693,3.42153297543477,0.135478620967849,25.255150598608,9.94230639628502e-141,1.3919228954799e-137,"MIR22HG","P.adj < 0.05 & |log2FC| > 1","red"
"ENSG00000253284",228.869473283872,2.13428299590536,0.0880201540225307,24.2476625905363,6.99843326215289e-130,4.89890328350702e-127,"ENSG00000253284","P.adj < 0.05 & |log2FC| > 1","red"
"MIR23AHG",236.840278856895,2.07800331315089,0.0890257869861993,23.3415888081172,1.67778081585669e-120,7.82964380733121e-118,"MIR23AHG","P.adj < 0.05 & |log2FC| > 1","red"
"ENSG00000261026",164.532929184942,5.56075519217354,0.258212445475396,21.535581609692,7.22815905868705e-103,2.52985567054047e-100,"ENSG00000261026","P.adj < 0.05 & |log2FC| > 1","red"
"CARMN",128.912331232972,2.35547161957306,0.12070449320859,19.5143656790188,8.28915281836059e-85,2.32096278914097e-82,"CARMN","P.adj < 0.05 & |log2FC| > 1","red"
"ENSG00000257298",319.17971939241,1.40938825085103,0.0812934628920363,17.3370428655844,2.47128200903104e-67,5.7663246877391e-65,"ENSG00000257298","P.adj < 0.05 & |log2FC| > 1","red"
"HCG18",2561.67554098776,0.439919253937742,0.0299196555475001,14.7033528925268,6.13454692474762e-49,1.22690938494952e-46,"HCG18","P.adj < 0.05","blue"
"GRASLND",228.07819776097,1.04515406148801,0.0736193464345391,14.1967310510877,9.59865896359749e-46,1.67976531862956e-43,"GRASLND","P.adj < 0.05 & |log2FC| > 1","red"
"ENSG00000275202",30.5169800712185,3.0429603642345,0.221351090429184,13.7472119894888,5.29302385239213e-43,8.23359265927665e-41,"ENSG00000275202","P.adj < 0.05 & |log2FC| > 1","red"
"ENSG00000248206",36.7115619391198,2.04836437350433,0.168386952661787,12.164626422206,4.79634575502315e-34,6.71488405703241e-32,"ENSG00000248206","P.adj < 0.05 & |log2FC| > 1","red"
"ENSG00000255931",30.3150902036548,5.86774491629827,0.496111333481702,11.8274760528418,2.81478639589131e-32,3.58245541295258e-30,"ENSG00000255931","P.adj < 0.05 & |log2FC| > 1","red"
"ENSG00000269952",32.8704233617428,4.78063088244764,0.417224225830605,11.4581814441154,2.13960141299047e-30,2.49620164848888e-28,"ENSG00000269952","P.adj < 0.05 & |log2FC| > 1","red"
"SNHG15",463.024118659063,0.704462645048942,0.0622712620761368,11.3128050012479,1.13405067123666e-29,1.22128533825486e-27,"SNHG15","P.adj < 0.05","blue"
"ENSG00000254510",34.8953049449416,6.24736115693842,0.55783498981993,11.1992995616053,4.10969919240017e-29,4.10969919240017e-27,"ENSG00000254510","P.adj < 0.05 & |log2FC| > 1","red"
"LINC01679",27.049573506816,2.64091700503768,0.241982471924755,10.9136706639598,9.9169456900147e-28,9.25581597734705e-26,"LINC01679","P.adj < 0.05 & |log2FC| > 1","red"
"ENSG00000274204",67.4668978983979,1.4644661364166,0.137956999384046,10.6153811909159,2.52760627743068e-26,2.21165549275184e-24,"ENSG00000274204","P.adj < 0.05 & |log2FC| > 1","red"
"MIR17HG",509.751022872072,0.69589237155731,0.0658641212877216,10.5655758848944,4.30319271917783e-26,3.54380576873468e-24,"MIR17HG","P.adj < 0.05","blue"
"ENSG00000270640",28.7332923092766,3.95647240586648,0.376204194920243,10.5168216072265,7.2270516798952e-26,5.62104019547404e-24,"ENSG00000270640","P.adj < 0.05 & |log2FC| > 1","red"
"ENSG00000225213",18.4201692350328,2.82118339882359,0.274121085624701,10.2917416673523,7.67749187296563e-25,5.65709927481678e-23,"ENSG00000225213","P.adj < 0.05 & |log2FC| > 1","red"
"MIR29B2CHG",161.191843849705,-0.831822020818771,0.086611972645886,-9.60400733764239,7.68952786008918e-22,5.38266950206242e-20,"MIR29B2CHG","P.adj < 0.05","blue"
"ENSG00000270953",17.3978539218795,3.26591636680734,0.343870222793187,9.49752595696997,2.14936008943436e-21,1.43290672628958e-19,"ENSG00000270953","P.adj < 0.05 & |log2FC| > 1","red"
"LINC01695",415.814553035501,0.588759784473238,0.0644676659714776,9.13263689015393,6.68507776345763e-20,4.16071461004382e-18,"LINC01695","P.adj < 0.05","blue"
"ENSG00000260257",214.41551760473,0.741649740879143,0.0812301363808767,9.13022892638825,6.83545971650057e-20,4.16071461004382e-18,"ENSG00000260257","P.adj < 0.05","blue"
"ENSG00000279602",142.795778795423,0.892269429720664,0.0980297352210271,9.10202835607859,8.8660281289474e-20,5.17184974188598e-18,"ENSG00000279602","P.adj < 0.05","blue"
"ENSG00000260495",20.4638320032886,-2.58740102009279,0.285451269044933,-9.06424773920169,1.25467000177525e-19,7.02615200994138e-18,"ENSG00000260495","P.adj < 0.05 & |log2FC| > 1","red"
"ENSG00000250069",31.2142146676966,1.93438270402069,0.214605647318866,9.01366170083373,1.99288765319017e-19,1.07309335171778e-17,"ENSG00000250069","P.adj < 0.05 & |log2FC| > 1","red"
"ENSG00000248544",21.0282693879273,2.18668550484448,0.250273057792463,8.73719897831663,2.38961374899895e-18,1.23905898096242e-16,"ENSG00000248544","P.adj < 0.05 & |log2FC| > 1","red"
"ENSG00000271327",69.8903263036078,-1.07874023405577,0.127100542907698,-8.48729839682243,2.11496205885967e-17,1.05748102942984e-15,"ENSG00000271327","P.adj < 0.05 & |log2FC| > 1","red"
"ENSG00000205037",26.0958097417886,1.82191444495326,0.218498807434865,8.33832672288785,7.53491419648093e-17,3.63754478450804e-15,"ENSG00000205037","P.adj < 0.05 & |log2FC| > 1","red"
"ENSG00000275764",100.059031679728,0.846891405459149,0.102134310543613,8.29193834032403,1.11417687006168e-16,5.19949206028782e-15,"ENSG00000275764","P.adj < 0.05","blue"
"CYTOR",26.115859989057,1.65645912513605,0.203127838150374,8.15476175111846,3.49868890475477e-16,1.58005305376022e-14,"CYTOR","P.adj < 0.05 & |log2FC| > 1","red"
"SNHG8",752.071419496004,0.342453755657617,0.0423229286253286,8.09144751511058,5.89597981856699e-16,2.57949117062306e-14,"SNHG8","P.adj < 0.05","blue"
"ENSG00000277159",29.2136399986501,1.55312670702264,0.193449390667286,8.02859446424347,9.85956805938611e-16,4.18284705549714e-14,"ENSG00000277159","P.adj < 0.05 & |log2FC| > 1","red"
"LINC00963",142.640028395976,0.694396810102471,0.0871850996008789,7.96462713561516,1.65722718444563e-15,6.82387664183495e-14,"LINC00963","P.adj < 0.05","blue"
"LINC00602",38.6138590113195,2.20383904484665,0.285655105511367,7.71503467757539,1.20949343470093e-14,4.83797373880371e-13,"LINC00602","P.adj < 0.05 & |log2FC| > 1","red"
"ENSG00000268205",869.217253372829,0.444702287965199,0.0586991596491553,7.57595663418663,3.56490883757031e-14,1.3863534368329e-12,"ENSG00000268205","P.adj < 0.05","blue"
"ENSG00000261114",18.9997055325055,2.54165525607765,0.337242792583562,7.5365739816304,4.8247929619117e-14,1.82559733693956e-12,"ENSG00000261114","P.adj < 0.05 & |log2FC| > 1","red"
"SNHG17",281.744884768607,0.497327138016406,0.0663126994838204,7.49972692844074,6.39509184322415e-14,2.35608646855627e-12,"SNHG17","P.adj < 0.05","blue"
"LINC01089",88.0479402258519,-0.845443846415125,0.112791866403251,-7.49561004153008,6.59907141691428e-14,2.36889743171282e-12,"LINC01089","P.adj < 0.05","blue"
"ENSG00000282057",30.4807570216114,1.36385628003846,0.186443869745075,7.31510390716126,2.57182306064844e-13,9.00138071226955e-12,"ENSG00000282057","P.adj < 0.05 & |log2FC| > 1","red"
"DLEU2",274.334650690081,0.538786108488195,0.0737660422342188,7.30398557614714,2.79366339604327e-13,9.53933842551361e-12,"DLEU2","P.adj < 0.05","blue"
"ENSG00000285804",82.2284437596535,-0.868788058149276,0.120184335768476,-7.22879610386926,4.87294391713119e-13,1.62431463904373e-11,"ENSG00000285804","P.adj < 0.05","blue"
"ENSG00000226824",71.2265895349241,0.87569358649057,0.12471177891771,7.02173919809444,2.19123276210589e-12,7.13424620220522e-11,"ENSG00000226824","P.adj < 0.05","blue"
"ENSG00000274895",131.20227379364,-0.685546519926382,0.0979417843888282,-6.99953063142864,2.56821429132322e-12,8.17159092693751e-11,"ENSG00000274895","P.adj < 0.05","blue"
"LINC01060",112.339838686675,0.667351882841236,0.0956465758270677,6.97726894110492,3.00973231836523e-12,9.36361165713627e-11,"LINC01060","P.adj < 0.05","blue"
"ENSG00000261101",23.8731839632292,1.53003509071704,0.221369873025958,6.91166810461886,4.78987471586153e-12,1.45778795700134e-10,"ENSG00000261101","P.adj < 0.05 & |log2FC| > 1","red"
"ENSG00000261997",49.2438167878111,-1.16675739200351,0.171405928124256,-6.80698389356579,9.96660844999756e-12,2.96877698510566e-10,"ENSG00000261997","P.adj < 0.05 & |log2FC| > 1","red"
"ENSG00000251456",78.7403707182913,0.806899981296194,0.118909619321037,6.785825956752,1.15424231243753e-11,3.36654007794281e-10,"ENSG00000251456","P.adj < 0.05","blue"
"CARINH",72.3629641527822,-0.84625240054312,0.125589488327204,-6.73824228297151,1.60314093671172e-11,4.58040267631921e-10,"CARINH","P.adj < 0.05","blue"
"ENSG00000230551",698.93739185046,0.433617719847725,0.0645578509083355,6.7167310210405,1.85846565204755e-11,5.20370382573314e-10,"ENSG00000230551","P.adj < 0.05","blue"
