"X.1","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X","expression","significant"
"ENSG00000261026",164.532929184942,3.38888096575727,0.26701687869975,12.6916357582321,6.5797065255994e-37,7.42190896087613e-34,"ENSG00000261026","P.adj < 0.05 & |log2FC| > 1","red"
"LINC00602",38.6138590113195,3.14143942750521,0.27257197289981,11.5251740451683,9.8512929453381e-31,5.55612922117069e-28,"LINC00602","P.adj < 0.05 & |log2FC| > 1","red"
"ENSG00000279602",142.795778795423,0.713935336680558,0.0985586219397941,7.24376338294052,4.36402515435633e-13,1.64087345803798e-10,"ENSG00000279602","P.adj < 0.05","blue"
"ENSG00000262202",57.9505908415834,1.12828813923017,0.161851911201381,6.97111409346483,3.14440823874831e-12,8.86723123327024e-10,"ENSG00000262202","P.adj < 0.05 & |log2FC| > 1","red"
"ENSG00000260400",210.28421208787,0.477842191355998,0.0771100257868325,6.1968879724794,5.75904603158057e-10,1.29924078472458e-07,"ENSG00000260400","P.adj < 0.05","blue"
"LINC00938",323.984900881304,-0.363259922361002,0.0596975520060225,-6.08500533362499,1.16487432579278e-09,2.01543975713388e-07,"LINC00938","P.adj < 0.05","blue"
"ENSG00000277223",120.835784253222,0.681324019612181,0.112177896005421,6.07360312391005,1.25071616134195e-09,2.01543975713388e-07,"ENSG00000277223","P.adj < 0.05","blue"
"ENSG00000276216",15.7867754721432,1.81100344088116,0.307870629754559,5.88235208511097,4.04476764488449e-09,5.70312237928714e-07,"ENSG00000276216","P.adj < 0.05 & |log2FC| > 1","red"
"DNM3OS",652.100109006684,0.453149685182569,0.0787832609088605,5.75185235994218,8.82708726422962e-09,1.10632827045011e-06,"DNM3OS","P.adj < 0.05","blue"
"MIR22HG",137.663840649693,0.830385985639306,0.155427004638267,5.34261074883289,9.16173611644379e-08,8.45476981559023e-06,"MIR22HG","P.adj < 0.05","blue"
"CARMN",128.912331232972,0.721742849169765,0.135717900864075,5.31796354478402,1.04935086363709e-07,8.45476981559023e-06,"CARMN","P.adj < 0.05","blue"
"LINC02728",50.9768036715434,0.793168334202993,0.148887965499882,5.32728304493906,9.96927475651778e-08,8.45476981559023e-06,"LINC02728","P.adj < 0.05","blue"
"ENSG00000270640",28.7332923092766,2.15630205591334,0.40152642823402,5.37026184153585,7.86224016584029e-08,8.45476981559023e-06,"ENSG00000270640","P.adj < 0.05 & |log2FC| > 1","red"
"LINC01002",664.172775974012,-0.316567221658735,0.0593304091190225,-5.33566557789397,9.51947133455665e-08,8.45476981559023e-06,"LINC01002","P.adj < 0.05","blue"
"ENSG00000254510",34.8953049449416,3.00167349686421,0.587715185973598,5.10736079057017,3.26689610833226e-07,2.32356729613251e-05,"ENSG00000254510","P.adj < 0.05 & |log2FC| > 1","red"
"ENSG00000277151",96.2460730000795,0.570385447591412,0.111715573698775,5.10569322348356,3.29584013635817e-07,2.32356729613251e-05,"ENSG00000277151","P.adj < 0.05","blue"
"HELLPAR",247.971161172276,0.321757902555824,0.0672586429463754,4.78388930345142,1.71935397272475e-06,0.000114084193013737,"HELLPAR","P.adj < 0.05","blue"
"ENSG00000264112",339.111950115915,0.333567185660994,0.0711205543299667,4.69016571655776,2.7298386946897e-06,0.000171069891533888,"ENSG00000264112","P.adj < 0.05","blue"
"ENSG00000261094",36.4122241785745,-0.732416551893863,0.159293789457593,-4.59789772336885,4.26775395578832e-06,0.000253369813796275,"ENSG00000261094","P.adj < 0.05","blue"
"MIR23AHG",236.840278856895,0.430963183761895,0.0980910749800832,4.3935004672892,1.11539949504035e-05,0.000629085315202758,"MIR23AHG","P.adj < 0.05","blue"
"ENSG00000261136",36.643628313648,-0.65713566264843,0.152485959074375,-4.30948309363955,1.63636566776762e-05,0.000878962130115177,"ENSG00000261136","P.adj < 0.05","blue"
"ENSG00000267397",27.4409707959433,0.854522974330582,0.201489419274331,4.24103150134714,2.22494903892341e-05,0.00114079205268437,"ENSG00000267397","P.adj < 0.05","blue"
"ENSG00000261114",18.9997055325055,1.46191402805706,0.355150464130951,4.11632301152792,3.84964694773947e-05,0.00188800076393484,"ENSG00000261114","P.adj < 0.05 & |log2FC| > 1","red"
"ENSG00000258525",30.399850155414,0.748619291531579,0.182315372131135,4.1061775690155,4.02260298266637e-05,0.00189062340185319,"ENSG00000258525","P.adj < 0.05","blue"
"ENSG00000238035",499.340244015462,-0.305482338628448,0.0747246214648879,-4.08810821172229,4.34905287510893e-05,0.00193210682128537,"ENSG00000238035","P.adj < 0.05","blue"
"ENSG00000257298",319.17971939241,-0.395421251940467,0.0968552196671027,-4.08260136417587,4.45343770863649e-05,0.00193210682128537,"ENSG00000257298","P.adj < 0.05","blue"
"LINC01001",497.306941832388,-0.290527346199374,0.0718742669233778,-4.04216082661536,5.29608866677222e-05,0.00221258815411817,"LINC01001","P.adj < 0.05","blue"
"ENSG00000260495",20.4638320032886,-0.771618607798852,0.193989728986461,-3.97762609304281,6.9606712919285e-05,0.00280415614903405,"ENSG00000260495","P.adj < 0.05","blue"
"ENSG00000241860",422.622668774248,-0.218362045420051,0.0550729660301138,-3.96495887475266,7.34086021270855e-05,0.00285534148963284,"ENSG00000241860","P.adj < 0.05","blue"
"ENSG00000260966",212.783433510686,0.318348393072766,0.0808429063448584,3.9378642785894,8.22100695068759e-05,0.00309109861345853,"ENSG00000260966","P.adj < 0.05","blue"
"FLJ46284",37.0579948900426,0.586094511939497,0.153393610596962,3.82085348704287,0.000132990643445357,0.00483914341310848,"FLJ46284","P.adj < 0.05","blue"
"LINC00294",516.841145268007,0.181355859914635,0.0481223538184834,3.76864067370241,0.000164138972604156,0.00578589878429648,"LINC00294","P.adj < 0.05","blue"
"ENSG00000242593",410.774135720761,0.209818352812382,0.0568600427926954,3.69008432824001,0.000224179724899877,0.00766287059657762,"ENSG00000242593","P.adj < 0.05","blue"
"ENSG00000261997",49.2438167878111,0.49177998177933,0.134449778066372,3.65772252548129,0.000254466307554181,0.00844229396826812,"ENSG00000261997","P.adj < 0.05","blue"
"ENSG00000261889",19.2038173886756,-0.960622957254071,0.263683855343958,-3.64308598264767,0.000269388800499063,0.00868201619894123,"ENSG00000261889","P.adj < 0.05","blue"
"ENSG00000276791",22.286994016091,-0.750144529556905,0.206703721069591,-3.62908091675986,0.000284432082124879,0.00891220523991287,"ENSG00000276791","P.adj < 0.05","blue"
"ENSG00000259280",16.7076435029669,0.851569829230351,0.237842662788889,3.58039142029876,0.000343079887689351,0.0103393665222938,"ENSG00000259280","P.adj < 0.05","blue"
"ENSG00000259326",27.3382867616649,0.682779184006299,0.190910557925979,3.57643490974987,0.00034831199277231,0.0103393665222938,"ENSG00000259326","P.adj < 0.05","blue"
