"X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","miR_name","expression","significant"
"hsa-miR-4521",2904.71616208177,-0.48705852754146,0.104989909690665,-4.6390984521893,3.49932333452892e-06,0.00285894716431013,"hsa-miR-4521","P.adj < 0.05","blue"
"hsa-miR-335-3p",554.016727985798,-0.723570432264838,0.170337375608392,-4.24786650422709,2.15815923345181e-05,0.00881608046865064,"hsa-miR-335-3p","P.adj < 0.05","blue"
"hsa-miR-4485-3p",2471.63975744793,-2.17682474848107,0.59068177830838,-3.68527492876986,0.000228455895004104,0.0622161554061178,"hsa-miR-4485-3p","|log2FC| > 1","darkgreen"
"hsa-miR-124-5p",197.069612920922,0.89605908574525,0.253795982467259,3.53062754198974,0.000414575085106307,0.0846769611329633,"hsa-miR-124-5p","NS","grey80"
"hsa-miR-1179",72.0975987211,-1.04368249013512,0.3289336145597,-3.17292743562301,0.00150910237405673,0.205489439934058,"hsa-miR-1179","|log2FC| > 1","darkgreen"
"hsa-miR-12136",1134.98516011525,-1.48410572111343,0.46736313035734,-3.17548737740331,0.00149585029313441,0.205489439934058,"hsa-miR-12136","|log2FC| > 1","darkgreen"
"hsa-let-7a-3p",2849.28573299042,0.21003377201914,0.0673717921453118,3.11753280313704,0.00182371650231552,0.212853768913111,"hsa-let-7a-3p","NS","grey80"
"hsa-miR-191-3p",673.12547158317,0.397253245229264,0.132572322198617,2.99650212533886,0.00273096334325269,0.278899631429681,"hsa-miR-191-3p","NS","grey80"
"hsa-miR-4488",10.3976536484418,-3.64259844032321,1.30534569108643,-2.79052397016111,0.0052622803537664,0.474722989597977,"hsa-miR-4488","|log2FC| > 1","darkgreen"
"hsa-miR-548ai",7.35410256947112,-4.74644934789479,1.74054920402784,-2.72698372267267,0.00639161919899357,0.474722989597977,"hsa-miR-548ai","|log2FC| > 1","darkgreen"
"hsa-miR-570-5p",7.35410256947112,-4.74644934789479,1.74054920402784,-2.72698372267267,0.00639161919899357,0.474722989597977,"hsa-miR-570-5p","|log2FC| > 1","darkgreen"
"hsa-let-7c-3p",342.234894463636,0.559633850977794,0.215233687012618,2.60012202896931,0.00931906154180747,0.543833805689765,"hsa-let-7c-3p","NS","grey80"
"hsa-miR-30b-5p",14048.699427986,0.158807482037427,0.0604724718394333,2.62611196808844,0.0086366402233226,0.543833805689765,"hsa-miR-30b-5p","NS","grey80"
"hsa-miR-501-3p",5545.58208277182,-0.189542297190465,0.0722695762480633,-2.62271217060781,0.00872329336497244,0.543833805689765,"hsa-miR-501-3p","NS","grey80"
"hsa-miR-550a-5p",232.387988623686,-0.427700638242289,0.171223760575158,-2.49790471138818,0.0124929770141358,0.680450814703262,"hsa-miR-550a-5p","NS","grey80"
"hsa-miR-126-5p",2212.97703347095,0.245426581358803,0.106899429083535,2.29586428536506,0.0216836423733514,0.761240948913525,"hsa-miR-126-5p","NS","grey80"
"hsa-miR-140-5p",735.843852608882,-0.300176061093554,0.131113058264658,-2.28944443113846,0.0220535430927101,0.761240948913525,"hsa-miR-140-5p","NS","grey80"
"hsa-miR-185-3p",87.0214615098999,0.743390551819051,0.310793229302209,2.39191359955977,0.0167607874710258,0.761240948913525,"hsa-miR-185-3p","NS","grey80"
"hsa-miR-26b-5p",63021.4492892409,-0.21560873875862,0.0923562600712981,-2.33453302019995,0.0195678291378856,0.761240948913525,"hsa-miR-26b-5p","NS","grey80"
"hsa-miR-3916",14.9288489980154,-1.79935878074719,0.79846111545253,-2.2535333855643,0.0242255381539188,0.761240948913525,"hsa-miR-3916","|log2FC| > 1","darkgreen"
"hsa-miR-6500-3p",240.279770899666,-0.400993899452939,0.173846931258489,-2.3065917617879,0.0210775892434379,0.761240948913525,"hsa-miR-6500-3p","NS","grey80"
"hsa-miR-652-3p",2410.46571197741,-0.165835868278063,0.070927705335211,-2.33809718634357,0.0193822071502918,0.761240948913525,"hsa-miR-652-3p","NS","grey80"
"hsa-miR-663a",8.90374472889796,-3.39234585441127,1.48185945071359,-2.28924939728777,0.0220648659918077,0.761240948913525,"hsa-miR-663a","|log2FC| > 1","darkgreen"
"hsa-miR-744-5p",2781.63117534881,-0.167002888890975,0.0736053391118461,-2.26889639944743,0.0232746267431247,0.761240948913525,"hsa-miR-744-5p","NS","grey80"
"hsa-miR-874-3p",497.543252675809,-0.34041291775448,0.150289792192282,-2.26504350554263,0.0235100098981455,0.761240948913525,"hsa-miR-874-3p","NS","grey80"
"hsa-miR-103a-3p",286189.32885365,-0.184538210277808,0.0782799356159305,-2.35741392511126,0.0184027210841258,0.761240948913525,"hsa-miR-103a-3p","NS","grey80"
"hsa-miR-199b-5p",36524.3457959273,0.148434017446886,0.0674168126310758,2.20173591206633,0.0276839684194188,0.779924213747075,"hsa-miR-199b-5p","NS","grey80"
"hsa-miR-30e-3p",2717.59757583858,-0.191166445842958,0.0866430629895055,-2.20636758728293,0.0273582725801244,0.779924213747075,"hsa-miR-30e-3p","NS","grey80"
"hsa-miR-331-5p",519.971176618075,-0.321801311384244,0.145311179277824,-2.21456678683326,0.0267898138290686,0.779924213747075,"hsa-miR-331-5p","NS","grey80"
"hsa-miR-1973",57.3404455749815,-2.03774542742515,0.932876325455206,-2.18436825099062,0.0289351992434912,0.78800192606441,"hsa-miR-1973","|log2FC| > 1","darkgreen"
"hsa-miR-107",13412.1149506121,-0.238124189034204,0.110885804169147,-2.14747226498862,0.0317557029146061,0.810762790038537,"hsa-miR-107","NS","grey80"
"hsa-miR-660-3p",50.1211949080064,1.0946812270761,0.507595745441304,2.15660047765843,0.0310368072951474,0.810762790038537,"hsa-miR-660-3p","|log2FC| > 1","darkgreen"
"hsa-miR-135a-5p",736.431364224685,-0.300280993330154,0.143438869535392,-2.09344227476683,0.036309691984958,0.89893995005184,"hsa-miR-135a-5p","NS","grey80"
"hsa-miR-1269a",4624.4191606714,-0.182797234946083,0.09109439199718,-2.0066793458783,0.0447838166156584,0.903377390711132,"hsa-miR-1269a","NS","grey80"
"hsa-miR-130b-3p",4093.17397869894,-0.180696157030658,0.0886440800145311,-2.03844584997709,0.0415053649281491,0.903377390711132,"hsa-miR-130b-3p","NS","grey80"
"hsa-miR-1912-3p",8.49005229936738,1.93210602004882,0.970240607223101,1.99136792014782,0.0464404533780508,0.903377390711132,"hsa-miR-1912-3p","|log2FC| > 1","darkgreen"
"hsa-miR-26b-3p",218.110784554065,0.330519869512472,0.161972028874585,2.04059844041587,0.0412907573337657,0.903377390711132,"hsa-miR-26b-3p","NS","grey80"
