"X.1","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X","expression","significant"
"ENSG00000257298",319.17971939241,2.83282875365649,0.0761286680100918,37.2110642114605,4.52001318016528e-303,6.32801845223138e-300,"ENSG00000257298","P.adj < 0.05 & |log2FC| > 1","red"
"CARMN",128.912331232972,2.82553924438462,0.117869515862958,23.9717557478539,5.48144991346948e-127,3.83701493942864e-124,"CARMN","P.adj < 0.05 & |log2FC| > 1","red"
"ENSG00000261026",164.532929184942,6.0370532474362,0.257271612391894,23.4656796811307,9.1447663036768e-122,4.2675576083825e-119,"ENSG00000261026","P.adj < 0.05 & |log2FC| > 1","red"
"MIR22HG",137.663840649693,2.80568484113733,0.137457958720805,20.4112214908999,1.32921023811272e-92,4.65223583339453e-90,"MIR22HG","P.adj < 0.05 & |log2FC| > 1","red"
"MIR23AHG",236.840278856895,1.67469718503158,0.0901742695025952,18.5717854357931,5.4364788320772e-77,1.52221407298161e-74,"MIR23AHG","P.adj < 0.05 & |log2FC| > 1","red"
"LINC00602",38.6138590113195,3.72984749139703,0.268381001292427,13.8975839326756,6.55157840933449e-44,1.52870162884471e-41,"LINC00602","P.adj < 0.05 & |log2FC| > 1","red"
"ENSG00000277223",120.835784253222,1.34620445637648,0.107578600460839,12.5136825596326,6.28418783312928e-36,1.25683756662586e-33,"ENSG00000277223","P.adj < 0.05 & |log2FC| > 1","red"
"ENSG00000270640",28.7332923092766,4.47487539983631,0.372051786739784,12.0275605690507,2.54571686714742e-33,4.45500451750798e-31,"ENSG00000270640","P.adj < 0.05 & |log2FC| > 1","red"
"ENSG00000269952",32.8704233617428,4.88046362614847,0.416253561153563,11.7247372313723,9.51959760291752e-32,1.48082629378717e-29,"ENSG00000269952","P.adj < 0.05 & |log2FC| > 1","red"
"ENSG00000250069",31.2142146676966,2.30442543159428,0.209049614735505,11.0233421597543,2.94902126719722e-28,4.1286297740761e-26,"ENSG00000250069","P.adj < 0.05 & |log2FC| > 1","red"
"ENSG00000274204",67.4668978983979,1.48487465286566,0.136821717790344,10.8526239609195,1.9378100584678e-27,2.4663037107772e-25,"ENSG00000274204","P.adj < 0.05 & |log2FC| > 1","red"
"SNHG15",463.024118659063,0.657586220766357,0.0620693787407258,10.5943741359682,3.16450643208463e-26,3.6919241707654e-24,"SNHG15","P.adj < 0.05","blue"
"ENSG00000279602",142.795778795423,0.958561822221475,0.0967575729028621,9.90684029645725,3.88746162077833e-23,4.18649713006897e-21,"ENSG00000279602","P.adj < 0.05","blue"
"CHASERR",757.039091157681,0.557655974549937,0.0573289544557492,9.72730062573141,2.3063188110829e-22,2.3063188110829e-20,"CHASERR","P.adj < 0.05","blue"
"ENSG00000254510",34.8953049449416,5.44410808523289,0.560288112400955,9.71662251034333,2.56136710930848e-22,2.39060930202125e-20,"ENSG00000254510","P.adj < 0.05 & |log2FC| > 1","red"
"DNM3OS",652.100109006684,0.73159903763556,0.0782348519355319,9.35131874779315,8.65616198332515e-21,7.57414173540951e-19,"DNM3OS","P.adj < 0.05","blue"
"ENSG00000251456",78.7403707182913,1.0541789600833,0.115151302120546,9.15472895807754,5.44944348959605e-20,4.48777699143204e-18,"ENSG00000251456","P.adj < 0.05 & |log2FC| > 1","red"
"MIR17HG",509.751022872072,0.600184744464139,0.0658365453611344,9.11628550939201,7.77432587770396e-20,6.04669790488085e-18,"MIR17HG","P.adj < 0.05","blue"
"ENSG00000255931",30.3150902036548,4.55384086809894,0.501962427569722,9.07207515539881,1.16771513355912e-19,8.60421677359349e-18,"ENSG00000255931","P.adj < 0.05 & |log2FC| > 1","red"
